symbol,description,path,trade_mode,digits,spread,trade_contract_size,trade_currency,quote_currency,margin_currency,is_visible
INTC.NAS,Intel Corp CFD,Stock CFD's\Nasdaq\INTC.NAS,4,2,0,1.0,USD,USD,USD,False
INTU.NAS,Intuit CFD,Stock CFD's\Nasdaq\INTU.NAS,4,2,0,1.0,USD,USD,USD,False
ISRG.NAS,Intuitive Surgical CFD,Stock CFD's\Nasdaq\ISRG.NAS,4,2,0,1.0,USD,USD,USD,False
KHC.NAS,Kraft Heinz Co CFD,Stock CFD's\Nasdaq\KHC.NAS,4,2,0,1.0,USD,USD,USD,False
MAR.NAS,Marriott Intl CFD,Stock CFD's\Nasdaq\MAR.NAS,4,2,0,1.0,USD,USD,USD,False
MDLZ.NAS,Mondelez International CFD,Stock CFD's\Nasdaq\MDLZ.NAS,4,2,0,1.0,USD,USD,USD,False
MSFT.NAS,Microsoft Corp CFD,Stock CFD's\Nasdaq\MSFT.NAS,4,2,0,1.0,USD,USD,USD,False
MU.NAS,Micron Technology Inc CFD,Stock CFD's\Nasdaq\MU.NAS,4,2,0,1.0,USD,USD,USD,False
NFLX.NAS,Netflix CFD,Stock CFD's\Nasdaq\NFLX.NAS,4,2,0,1.0,USD,USD,USD,False
NVDA.NAS,Nvidia Corp CFD,Stock CFD's\Nasdaq\NVDA.NAS,4,2,0,1.0,USD,USD,USD,False
PEP.NAS,Pepsico CFD,Stock CFD's\Nasdaq\PEP.NAS,4,2,0,1.0,USD,USD,USD,False
PYPL.NAS,Paypal Holdings Inc CFD,Stock CFD's\Nasdaq\PYPL.NAS,4,2,0,1.0,USD,USD,USD,False
QCOM.NAS,Qualcomm CFD,Stock CFD's\Nasdaq\QCOM.NAS,3,2,0,1.0,USD,USD,USD,False
REGN.NAS,Regeneron Pharmaceuticals Inc CFD,Stock CFD's\Nasdaq\REGN.NAS,4,2,0,1.0,USD,USD,USD,False
SBUX.NAS,Starbucks Corp CFD,Stock CFD's\Nasdaq\SBUX.NAS,4,2,0,1.0,USD,USD,USD,False
SHPG.NAS,Shire Plc ADR CFD,Stock CFD's\Nasdaq\SHPG.NAS,0,2,0,1.0,USD,USD,USD,False
TFCF.NAS,Twenty-First Century Fox (USD) B CFD,Stock CFD's\Nasdaq\TFCF.NAS,0,2,0,1.0,USD,USD,USD,False
