ticket,order,symbol,type,volume,price,profit,swap,commission,time
1066141473,1304871503,USDJPY,0,0.01,153.906,-0.34,0.0,0.0,2025-11-06 15:27:13
1066141472,1304871502,USDCHF,0,0.01,0.80926,-0.06,0.0,0.0,2025-11-06 15:27:13
1066141471,1304871501,NZDUSD,1,0.01,0.56606,-0.22,0.0,0.0,2025-11-06 15:27:13
1066141470,1304871500,NZDCAD,0,0.01,0.79821,-0.02,0.0,0.0,2025-11-06 15:27:13
1066141469,1304871499,GBPNZD,1,0.01,2.30729,0.09,0.0,0.0,2025-11-06 15:27:13
1066141468,1304871498,GBPJPY,1,0.01,201.026,0.33,0.0,0.0,2025-11-06 15:27:13
1066141467,1304871497,GBPCAD,1,0.01,1.84157,-0.13,0.0,0.0,2025-11-06 15:27:13
1066141466,1304871496,GBPAUD,0,0.01,2.00661,-0.23,0.0,0.0,2025-11-06 15:27:13
1066141465,1304871495,EURUSD,1,0.01,1.15106,-0.04,0.0,0.0,2025-11-06 15:27:13
1066141464,1304871494,EURNZD,1,0.01,2.03325,0.03,0.0,0.0,2025-11-06 15:27:13
1066141463,1304871493,EURJPY,1,0.01,177.15,0.25,0.0,0.0,2025-11-06 15:27:13
1066141462,1304871492,EURGBP,1,0.01,0.88117,0.13,0.0,0.0,2025-11-06 15:27:13
1066141461,1304871491,EURCHF,1,0.01,0.93143,0.3,0.0,0.0,2025-11-06 15:27:13
1066141460,1304871490,EURCAD,1,0.01,1.62284,0.27,0.0,0.0,2025-11-06 15:27:13
1066141459,1304871489,EURAUD,1,0.01,1.76817,-0.01,0.0,0.0,2025-11-06 15:27:13
1066141458,1304871488,AUDUSD,1,0.01,0.65095,-0.09,0.0,0.0,2025-11-06 15:27:13
1066141457,1304871486,AUDCAD,1,0.01,0.91776,-0.18,0.0,0.0,2025-11-06 15:27:13
1066137079,1304866735,XAUGBP,0,0.01,3051.7,0.0,0.0,0.0,2025-11-06 15:23:19
1066135840,1304865387,XAUGBP,0,0.01,3051.94,0.0,0.0,0.0,2025-11-06 15:22:20
1066128753,1304857634,NZDUSD,0,0.01,0.56628,0.0,0.0,0.0,2025-11-06 15:16:10
1066127381,1304856131,EURJPY,0,0.01,177.112,0.0,0.0,0.0,2025-11-06 15:15:05
1066120959,1304848917,EURGBP,0,0.01,0.88107,0.0,0.0,0.0,2025-11-06 15:10:01
1066119732,1304847531,EURNZD,0,0.01,2.03319,0.0,0.0,0.0,2025-11-06 15:09:00
1066119051,1304846771,NZDCAD,1,0.01,0.79818,0.0,0.0,0.0,2025-11-06 15:08:28
1066116502,1304843928,GBPUSD,1,0.01,1.3067,0.59,0.0,0.0,2025-11-06 15:06:32
1066116474,1304843898,USDCAD,0,0.01,1.41001,0.3,0.0,0.0,2025-11-06 15:06:31
1066113525,1304840721,NZDUSD,0,0.01,0.56636,-0.39,0.0,0.0,2025-11-06 15:04:27
1066112693,1304839827,NZDCAD,0,0.01,0.79839,-0.33,0.0,0.0,2025-11-06 15:04:01
1066111025,1304838010,XAUGBP,0,0.01,3053.6,0.0,0.0,0.0,2025-11-06 15:03:08
1066110500,1304837448,EURUSD,0,0.01,1.1511,0.0,0.0,0.0,2025-11-06 15:02:59
1066109332,1304836144,XAUEUR,0,0.01,3464.66,0.0,0.0,0.0,2025-11-06 15:02:08
1066105801,1304832309,NZDCAD,1,0.01,0.79793,0.0,0.0,0.0,2025-11-06 15:00:23
1066103026,1304828136,EURUSD,1,0.01,1.15104,0.46,0.0,0.0,2025-11-06 14:58:47
1066096819,1304821370,NZDCAD,1,0.01,0.79804,-0.49,0.0,0.0,2025-11-06 14:53:50
1066096581,1304821153,NZDUSD,1,0.01,0.56597,0.0,0.0,0.0,2025-11-06 14:53:41
1066095961,1304820487,EURNZD,1,0.01,2.03285,0.99,0.0,0.0,2025-11-06 14:53:07
1066095631,1304820116,EURAUD,0,0.01,1.76818,0.0,0.0,0.0,2025-11-06 14:52:43
1066094585,1304818974,GBPNZD,0,0.01,2.30713,0.0,0.0,0.0,2025-11-06 14:51:41
1066094433,1304818811,EURAUD,0,0.01,1.76809,-0.81,0.0,0.0,2025-11-06 14:51:30
1066084073,1304807155,NZDUSD,1,0.01,0.5661,-0.42,0.0,0.0,2025-11-06 14:42:55
1066081444,1304804174,GBPJPY,0,0.01,200.975,0.0,0.0,0.0,2025-11-06 14:41:02
1066078438,1304800778,GBPCHF,1,0.01,1.05672,-0.47,0.0,0.0,2025-11-06 14:38:45
1066059734,1304780037,EURNZD,0,0.01,2.0311,0.0,0.0,0.0,2025-11-06 14:24:25
1066057267,1304777665,USDJPY,1,0.01,153.853,0.0,0.0,0.0,2025-11-06 14:22:58
1066057193,1304777589,GBPCHF,0,0.01,1.0571,0.0,0.0,0.0,2025-11-06 14:22:55
1066048266,1304767361,USDJPY,1,0.01,153.899,-0.54,0.0,0.0,2025-11-06 14:12:20
1066046801,1304765719,USDCAD,1,0.01,1.41044,0.0,0.0,0.0,2025-11-06 14:10:51
1066038791,1304756579,USDJPY,0,0.01,153.982,0.0,0.0,0.0,2025-11-06 14:00:19
1066036125,1304752529,NZDUSD,0,0.01,0.56652,0.0,0.0,0.0,2025-11-06 13:57:47
1066035250,1304751496,EURAUD,1,0.01,1.76685,0.0,0.0,0.0,2025-11-06 13:56:13
1065975926,1304680526,GBPAUD,1,0.01,2.00625,0.0,0.0,0.0,2025-11-06 12:22:31
1065971889,1304675627,EURCHF,0,0.01,0.93119,0.0,0.0,0.0,2025-11-06 12:15:56
1065971652,1304675374,NZDCAD,0,0.01,0.79873,0.0,0.0,0.0,2025-11-06 12:15:29
1065971645,1304675367,AUDCAD,0,0.01,0.91802,0.0,0.0,0.0,2025-11-06 12:15:27
1065971066,1304674602,AUDUSD,0,0.01,0.65104,0.0,0.0,0.0,2025-11-06 12:14:56
1065970873,1304674375,GBPCAD,0,0.01,1.84175,0.0,0.0,0.0,2025-11-06 12:14:29
1065970839,1304674341,EURCAD,0,0.01,1.62246,0.0,0.0,0.0,2025-11-06 12:14:26
1065970284,1304673671,GBPUSD,0,0.01,1.30611,0.0,0.0,0.0,2025-11-06 12:13:26
1065970280,1304673666,USDCHF,1,0.01,0.80921,0.0,0.0,0.0,2025-11-06 12:13:25
1065970270,1304673653,EURUSD,0,0.01,1.15058,0.0,0.0,0.0,2025-11-06 12:13:24
1065969452,1304672558,USDCAD,0,0.01,1.41038,-0.01,0.0,0.0,2025-11-06 12:12:17
1065969447,1304672551,NZDUSD,1,0.01,0.56633,-0.21,0.0,0.0,2025-11-06 12:12:16
1065969438,1304672540,NZDCAD,1,0.01,0.79859,-0.2,0.0,0.0,2025-11-06 12:12:16
1065969434,1304672532,GBPNZD,1,0.01,2.30589,0.07,0.0,0.0,2025-11-06 12:12:15
1065969429,1304672524,GBPCHF,1,0.01,1.05694,-0.2,0.0,0.0,2025-11-06 12:12:14
1065969426,1304672519,EURNZD,1,0.01,2.03125,-0.16,0.0,0.0,2025-11-06 12:12:13
1065969424,1304672515,EURJPY,1,0.01,177.076,-0.37,0.0,0.0,2025-11-06 12:12:12
1065969418,1304672508,EURGBP,1,0.01,0.88086,-0.24,0.0,0.0,2025-11-06 12:12:12
1065969414,1304672501,AUDUSD,1,0.01,0.65091,0.01,0.0,0.0,2025-11-06 12:12:11
1065967778,1304670681,AUDCAD,1,0.01,0.91793,0.11,0.0,0.0,2025-11-06 12:10:48
1065963573,1304665886,EURGBP,0,0.01,0.88104,0.0,0.0,0.0,2025-11-06 12:04:58
1065963195,1304665498,EURNZD,0,0.01,2.03153,0.0,0.0,0.0,2025-11-06 12:04:26
1065962577,1304664809,GBPNZD,0,0.01,2.30577,0.0,0.0,0.0,2025-11-06 12:03:33
1065961112,1304662936,EURJPY,0,0.01,177.133,0.0,0.0,0.0,2025-11-06 12:00:57
1065960877,1304662629,GBPCHF,0,0.01,1.0571,0.0,0.0,0.0,2025-11-06 12:00:27
1065957919,1304658411,NZDCAD,0,0.01,0.79887,0.0,0.0,0.0,2025-11-06 11:57:29
1065957909,1304658396,AUDCAD,0,0.01,0.91778,0.0,0.0,0.0,2025-11-06 11:57:27
1065957506,1304657945,AUDUSD,0,0.01,0.6509,0.0,0.0,0.0,2025-11-06 11:56:55
1065956701,1304657120,NZDUSD,0,0.01,0.56654,0.0,0.0,0.0,2025-11-06 11:56:24
1065951176,1304651623,USDCAD,1,0.01,1.41036,0.0,0.0,0.0,2025-11-06 11:51:00
1065951011,1304651415,USDCAD,1,0.01,1.41036,-0.18,0.0,0.0,2025-11-06 11:50:35
1065951009,1304651410,GBPNZD,0,0.01,2.30514,-0.1,0.0,0.0,2025-11-06 11:50:34
1065951006,1304651405,GBPNZD,1,0.01,2.30481,-0.58,0.0,0.0,2025-11-06 11:50:34
1065951000,1304651396,GBPCAD,1,0.01,1.84128,-0.2,0.0,0.0,2025-11-06 11:50:33
1065950993,1304651387,EURJPY,1,0.01,177.122,0.04,0.0,0.0,2025-11-06 11:50:32
1065950981,1304651384,EURJPY,1,0.01,177.123,0.1,0.0,0.0,2025-11-06 11:50:31
1065950977,1304651378,EURGBP,1,0.01,0.88092,-0.03,0.0,0.0,2025-11-06 11:50:30
1065950974,1304651374,EURGBP,1,0.01,0.88093,-0.1,0.0,0.0,2025-11-06 11:50:29
1065950969,1304651370,EURCHF,1,0.01,0.93103,0.04,0.0,0.0,2025-11-06 11:50:28
1065950966,1304651367,EURCHF,1,0.01,0.93103,0.1,0.0,0.0,2025-11-06 11:50:27
1065940937,1304639222,EURJPY,0,0.01,177.116,0.0,0.0,0.0,2025-11-06 11:39:21
1065940051,1304638061,EURGBP,0,0.01,0.88094,0.0,0.0,0.0,2025-11-06 11:37:48
